normalized_key,original_entries,ranks,key_kinds,affected_records_in_our_data,data_venue_examples,current_match_target,priority_flag,rank_conflict
ieee computer vision,[CORE:norm_title] IEEE International Conference on Computer Vision | [SJR:norm_title] Proceedings of the IEEE International Conference on Computer Vision,CORE A* | SJR -,norm_title,4,Proceedings of the IEEE International Conference on Computer Vision (x3) | 2009 IEEE 12th international conference on computer vision (x1),[CORE A*] IEEE International Conference on Computer Vision,HIGH,Y
machine learning research,[SJR:norm_title] Journal of Machine Learning Research | [SJR:norm_title] Proceedings of Machine Learning Research | [SJR:norm_title] Transactions on Machine Learning Research,SJR Q1 | SJR - | SJR Q2,norm_title,4,Proceedings of Machine Learning Research (x4),[SJR Q2] Transactions on Machine Learning Research,HIGH,Y
medical physics,[SJR:norm_title] Medical Physics | [SJR:norm_title] Journal of Medical Physics,SJR Q1 | SJR Q3,norm_title,4,Medical Physics (x3) | Medical physics (x1),[SJR Q3] Journal of Medical Physics,HIGH,Y
neuroscience,[SJR:norm_title] Journal of Neuroscience | [SJR:norm_title] Neuroscience | [SJR:norm_title] International Journal of Neuroscience,SJR Q1 | SJR Q2 | SJR Q3,norm_title,4,Neuroscience (x4),[SJR Q3] International Journal of Neuroscience,HIGH,Y
pattern recognition,[CORE:norm_title] International Conference on Pattern Recognition | [SJR:norm_title] Pattern Recognition,CORE B | SJR Q1,norm_title,4,2018 24th international conference on pattern recognition (ICPR) (x2) | 2002 international conference on pattern recognition (x1) | Pattern Recognition (x1),[CORE B] International Conference on Pattern Recognition,HIGH,Y
experimental psychology,[SJR:norm_title] Experimental Psychology | [SJR:norm_title] Experimental Psychology (Russia),SJR Q1 | SJR Q3,norm_title,3,Experimental Psychology (Russia) (x2) | Experimental Psychology (x1),[SJR Q3] Experimental Psychology (Russia),HIGH,Y
frontiers computer science,[SJR:norm_title] Frontiers of Computer Science | [SJR:norm_title] Frontiers in Computer Science,SJR Q1 | SJR Q2,norm_title,3,Frontiers in Computer Science (x3),[SJR Q2] Frontiers in Computer Science,HIGH,Y
urology,[SJR:norm_title] Journal of Urology | [SJR:norm_title] International Journal of Urology | [SJR:norm_title] Urology,SJR Q1 | SJR Q2 | SJR Q2,norm_title,3,Urology (x3),[SJR Q2] Urology,HIGH,Y
advanced manufacturing technology,[SJR:norm_title] International Journal of Advanced Manufacturing Technology | [SJR:norm_title] Journal of Advanced Manufacturing Technology,SJR Q1 | SJR Q4,norm_title,2,Journal of Advanced Manufacturing Technology (x1) | International Journal of Advanced Manufacturing Technology (x1),[SJR Q4] Journal of Advanced Manufacturing Technology,HIGH,Y
chemical physics,[SJR:norm_title] Journal of Chemical Physics | [SJR:norm_title] Chemical Physics,SJR Q1 | SJR Q2,norm_title,2,Journal of Chemical Physics (x1) | The Journal of chemical physics (x1),[SJR Q2] Chemical Physics,HIGH,Y
clinical neurophysiology,[SJR:norm_title] Clinical Neurophysiology | [SJR:norm_title] Journal of Clinical Neurophysiology,SJR Q1 | SJR Q3,norm_title,2,Clinical Neurophysiology (x2),[SJR Q3] Journal of Clinical Neurophysiology,HIGH,Y
cognitive neuroscience,[SJR:norm_title] Journal of Cognitive Neuroscience | [SJR:norm_title] Cognitive Neuroscience,SJR Q1 | SJR Q4,norm_title,2,Journal of Cognitive Neuroscience (x2),[SJR Q4] Cognitive Neuroscience,HIGH,Y
environmental research,[SJR:norm_title] Environmental Research | [SJR:norm_title] International Journal of Environmental Research,SJR Q1 | SJR Q2,norm_title,2,Environmental research (x2),[SJR Q2] International Journal of Environmental Research,HIGH,Y
heart,[SJR:norm_title] Heart | [SJR:norm_title] Heart International,SJR Q1 | SJR Q2,norm_title,2,Heart (x1) | Heart International (x1),[SJR Q2] Heart International,HIGH,Y
ieee industrial electronics,[SJR:norm_title] IEEE Transactions on Industrial Electronics | [SJR:norm_title] IEEE International Symposium on Industrial Electronics,SJR Q1 | SJR -,norm_title,2,IEEE Transactions on Industrial Electronics (x2),[SJR -] IEEE International Symposium on Industrial Electronics,HIGH,Y
ieee industrial informatics,[CORE:norm_title] IEEE International Conference on Industrial Informatics | [SJR:norm_title] IEEE Transactions on Industrial Informatics | [SJR:norm_title] IEEE International Conference on Industrial Informatics (INDIN),CORE C | SJR Q1 | SJR -,norm_title,2,IEEE Transactions on Industrial Informatics (x2),[CORE C] IEEE International Conference on Industrial Informatics,HIGH,Y
interactions,[SJR:norm_title] International Interactions | [SJR:norm_title] Interactions | [SJR:norm_title] Interactions (N.Y.),SJR Q1 | SJR Q2 | SJR Q4,norm_title,2,Interactions (x2),[SJR Q4] Interactions (N.Y.),HIGH,Y
neural networks,[CORE:norm_title] International Symposium on Neural Networks | [SJR:norm_title] Neural Networks,CORE C | SJR Q1,norm_title,2,Neural Networks (x2),[CORE C] International Symposium on Neural Networks,HIGH,Y
palliative medicine,[SJR:norm_title] Palliative Medicine | [SJR:norm_title] Journal of Palliative Medicine,SJR Q1 | SJR Q2,norm_title,2,Journal of Palliative Medicine (x2),[SJR Q2] Journal of Palliative Medicine,HIGH,Y
pediatrics,[SJR:norm_title] Pediatrics | [SJR:norm_title] Journal of Pediatrics | [SJR:norm_title] International Journal of Pediatrics (United Kingdom) | [SJR:norm_title] Pediatrics International,SJR Q1 | SJR Q1 | SJR Q2 | SJR Q3,norm_title,2,Pediatrics (x1) | Journal of Pediatrics (x1),[SJR Q3] Pediatrics International,HIGH,Y
poultry science,[SJR:norm_title] Poultry Science | [SJR:norm_title] Journal of Poultry Science,SJR Q1 | SJR Q2,norm_title,2,Poultry Science (x2),[SJR Q2] Journal of Poultry Science,HIGH,Y
psychophysiology,[SJR:norm_title] Psychophysiology | [SJR:norm_title] International Journal of Psychophysiology | [SJR:norm_title] Journal of Psychophysiology,SJR Q1 | SJR Q1 | SJR Q3,norm_title,2,Psychophysiology (x1) | International Journal of Psychophysiology (x1),[SJR Q3] Journal of Psychophysiology,HIGH,Y
robotics research,[CORE:norm_title] International Symposium on Robotics Research | [SJR:norm_title] International Journal of Robotics Research,CORE C | SJR Q1,norm_title,2,International Journal of Robotics Research (x2),[CORE C] International Symposium on Robotics Research,HIGH,Y
science,[SJR:norm_title] Science | [SJR:norm_title] Proceedings of Science,SJR Q1 | SJR -,norm_title,2,Proceedings of Science (x1) | Science (x1),[SJR -] Proceedings of Science,HIGH,Y
signal processing,[SJR:norm_title] Signal Processing | [SJR:norm_title] Journal of Signal Processing,SJR Q1 | SJR Q4,norm_title,2,Journal of Signal Processing (x1) | Signal Processing (x1),[SJR Q4] Journal of Signal Processing,HIGH,Y
sustainability,[SJR:norm_title] Sustainability (Switzerland) | [SJR:norm_title] Journal of Sustainability,SJR Q1 | SJR -,norm_title,2,Sustainability (Switzerland) (x2),[SJR -] Journal of Sustainability,HIGH,Y
acm theory computing,[CORE:norm_title] ACM Symposium on Theory of Computing | [SJR:norm_title] Proceedings of the Annual ACM Symposium on Theory of Computing,CORE A* | SJR -,norm_title,1,Proceedings of the 56th Annual ACM Symposium on Theory of Computing (x1),[CORE A*] ACM Symposium on Theory of Computing,HIGH,Y
ai,[CORE:acronym] Australasian Joint Conference on Artificial Intelligence | [SJR:norm_title] AI (Switzerland),CORE Australasian B | SJR Q1,acronym | norm_title,1,AI (Switzerland) (x1),[CORE Australasian B] Australasian Joint Conference on Artificial Intelligence,HIGH,Y
behavioral medicine,[SJR:norm_title] International Journal of Behavioral Medicine | [SJR:norm_title] Journal of Behavioral Medicine | [SJR:norm_title] Behavioral Medicine,SJR Q2 | SJR Q1 | SJR Q2,norm_title,1,Journal of Behavioral Medicine (x1),[SJR Q2] Behavioral Medicine,HIGH,Y
child adolescent mental health,[SJR:norm_title] Child and Adolescent Mental Health | [SJR:norm_title] Journal of Child and Adolescent Mental Health,SJR Q1 | SJR Q2,norm_title,1,Child and Adolescent Mental Health (x1),[SJR Q2] Journal of Child and Adolescent Mental Health,HIGH,Y
cognitive psychology,[SJR:norm_title] Cognitive Psychology | [SJR:norm_title] Journal of Cognitive Psychology,SJR Q1 | SJR Q3,norm_title,1,Journal of Cognitive Psychology (x1),[SJR Q3] Journal of Cognitive Psychology,HIGH,Y
educational psychology,[SJR:norm_title] Journal of Educational Psychology | [SJR:norm_title] Educational Psychology | [SJR:norm_title] International Journal of Educational Psychology,SJR Q1 | SJR Q1 | SJR Q2,norm_title,1,Journal of Educational Psychology (x1),[SJR Q2] International Journal of Educational Psychology,HIGH,Y
electronic commerce,[CORE:norm_title] International Conference on Electronic Commerce | [SJR:norm_title] International Journal of Electronic Commerce,CORE C | SJR Q1,norm_title,1,Proceedings of the International Conference on Electronic Commerce (x1),[CORE C] International Conference on Electronic Commerce,HIGH,Y
endocrinology,[SJR:norm_title] Journal of Endocrinology | [SJR:norm_title] Endocrinology (United States) | [SJR:norm_title] International Journal of Endocrinology,SJR Q1 | SJR Q2 | SJR Q2,norm_title,1,The Journal of endocrinology (x1),[SJR Q2] International Journal of Endocrinology,HIGH,Y
environment,[SJR:norm_title] Environment International | [SJR:norm_title] Environment,SJR Q1 | SJR Q2,norm_title,1,Environment International (x1),[SJR Q2] Environment,HIGH,Y
european neurology,[SJR:norm_title] European Journal of Neurology | [SJR:norm_title] European Neurology,SJR Q1 | SJR Q2,norm_title,1,European Journal of Neurology (x1),[SJR Q2] European Neurology,HIGH,Y
family practice,[SJR:norm_title] Family Practice | [SJR:norm_title] Journal of Family Practice,SJR Q1 | SJR Q3,norm_title,1,Journal of Family Practice (x1),[SJR Q3] Journal of Family Practice,HIGH,Y
hypertension,[SJR:norm_title] Hypertension | [SJR:norm_title] Journal of Hypertension | [SJR:norm_title] International Journal of Hypertension,SJR Q1 | SJR Q1 | SJR Q2,norm_title,1,Journal of Hypertension (x1),[SJR Q2] International Journal of Hypertension,HIGH,Y
ieee big data,[CORE:norm_title] IEEE International Conference on Big Data | [SJR:norm_title] IEEE Transactions on Big Data,CORE B | SJR Q1,norm_title,1,2023 IEEE international conference on big data (BigData) (x1),[CORE B] IEEE International Conference on Big Data,HIGH,Y
information fusion,[CORE:norm_title] International Conference on Information Fusion | [SJR:norm_title] Information Fusion,CORE C | SJR Q1,norm_title,1,Information Fusion (x1),[CORE C] International Conference on Information Fusion,HIGH,Y
insect science,[SJR:norm_title] Insect Science | [SJR:norm_title] Journal of Insect Science,SJR Q1 | SJR Q2,norm_title,1,Insect Science (x1),[SJR Q2] Journal of Insect Science,HIGH,Y
integrative medicine,[SJR:norm_title] Journal of Integrative Medicine | [SJR:norm_title] Integrative Medicine,SJR Q1 | SJR Q3,norm_title,1,Journal of Integrative Medicine (x1),[SJR Q3] Integrative Medicine,HIGH,Y
internal medicine,[SJR:norm_title] Journal of Internal Medicine | [SJR:norm_title] Internal Medicine,SJR Q1 | SJR Q3,norm_title,1,Internal Medicine (x1),[SJR Q3] Internal Medicine,HIGH,Y
landscape ecology,[SJR:norm_title] Landscape Ecology | [SJR:norm_title] Journal of Landscape Ecology (Czech Republic) | [SJR:norm_title] Journal of Landscape Ecology,SJR Q1 | SJR Q2 | SJR Q4,norm_title,1,Landscape Ecology (x1),[SJR Q4] Journal of Landscape Ecology,HIGH,Y
legal medicine,[SJR:norm_title] International Journal of Legal Medicine | [SJR:norm_title] Legal Medicine | [SJR:norm_title] Journal of Legal Medicine,SJR Q1 | SJR Q2 | SJR Q3,norm_title,1,International Journal of Legal Medicine (x1),[SJR Q3] Journal of Legal Medicine,HIGH,Y
medical sciences,[SJR:norm_title] Medical sciences | [SJR:norm_title] International Journal of Medical Sciences | [SJR:norm_title] Journal of Medical Sciences (Taiwan) | [SJR:norm_title] Journal of Medical Sciences (Peshawar),SJR Q1 | SJR Q1 | SJR Q4 | SJR Q4,norm_title,1,International Journal of Medical Sciences (x1),[SJR Q4] Journal of Medical Sciences (Peshawar),HIGH,Y
metaverse,[SJR:norm_title] Journal of Metaverse | [SJR:norm_title] Metaverse,SJR Q1 | SJR Q4,norm_title,1,Journal of Metaverse (x1),[SJR Q4] Metaverse,HIGH,Y
nephrology dialysis transplantation,"[SJR:norm_title] Nephrology Dialysis Transplantation | [SJR:norm_title] Nephrology, Dialysis and Transplantation",SJR Q1 | SJR Q4,norm_title,1,Nephrology Dialysis Transplantation (x1),"[SJR Q4] Nephrology, Dialysis and Transplantation",HIGH,Y
neuroradiology,[SJR:norm_title] Journal of Neuroradiology | [SJR:norm_title] Neuroradiology,SJR Q1 | SJR Q2,norm_title,1,Neuroradiology (x1),[SJR Q2] Neuroradiology,HIGH,Y
nursing management,[SJR:norm_title] Journal of Nursing Management | [SJR:norm_title] Nursing Management,SJR Q1 | SJR Q3,norm_title,1,Journal of Nursing Management (x1),[SJR Q3] Nursing Management,HIGH,Y
orthopaedics,[SJR:norm_title] International Orthopaedics | [SJR:norm_title] Journal of Orthopaedics,SJR Q1 | SJR Q2,norm_title,1,Journal of Orthopaedics (x1),[SJR Q2] Journal of Orthopaedics,HIGH,Y
otolaryngology head neck surgery,[SJR:norm_title] Otolaryngology - Head and Neck Surgery | [SJR:norm_title] Journal of Otolaryngology - Head and Neck Surgery | [SJR:norm_title] Otolaryngology - Head and Neck Surgery (Japan),SJR Q1 | SJR Q1 | SJR Q4,norm_title,1,Otolaryngology - Head and Neck Surgery (United States) (x1),[SJR Q4] Otolaryngology - Head and Neck Surgery (Japan),HIGH,Y
pediatric surgery,[SJR:norm_title] Journal of Pediatric Surgery | [SJR:norm_title] Pediatric Surgery International,SJR Q1 | SJR Q2,norm_title,1,Pediatric Surgery International (x1),[SJR Q2] Pediatric Surgery International,HIGH,Y
psychogeriatrics,[SJR:norm_title] International Psychogeriatrics | [SJR:norm_title] Psychogeriatrics,SJR Q1 | SJR Q2,norm_title,1,Psychogeriatrics (x1),[SJR Q2] Psychogeriatrics,HIGH,Y
public health,[SJR:norm_title] Public Health | [SJR:norm_title] International Journal of Public Health | [SJR:norm_title] Journal of Public Health | [SJR:norm_title] Journal of Public Health (Germany),SJR Q1 | SJR Q1 | SJR Q2 | SJR Q2,norm_title,1,Journal of Public Health (Germany) (x1),[SJR Q2] Journal of Public Health (Germany),HIGH,Y
remote sensing,[SJR:norm_title] Journal of Remote Sensing (United States) | [SJR:norm_title] Remote Sensing | [SJR:norm_title] International Journal of Remote Sensing,SJR Q1 | SJR Q1 | SJR Q2,norm_title,1,Remote Sensing (x1),[SJR Q2] International Journal of Remote Sensing,HIGH,Y
rheumatology,[SJR:norm_title] Rheumatology | [SJR:norm_title] Journal of Rheumatology | [SJR:norm_title] Rheumatology International | [SJR:norm_title] International Journal of Rheumatology | [SJR:norm_title] Rheumatology (Bulgaria),SJR Q1 | SJR Q2 | SJR Q2 | SJR Q3 | SJR Q4,norm_title,1,Rheumatology International (x1),[SJR Q4] Rheumatology (Bulgaria),HIGH,Y
social psychology,[SJR:norm_title] Journal of Social Psychology | [SJR:norm_title] Social Psychology | [SJR:norm_title] International Journal of Social Psychology,SJR Q2 | SJR Q1 | SJR Q3,norm_title,1,Journal of Social Psychology (x1),[SJR Q3] International Journal of Social Psychology,HIGH,Y
sound vibration,[SJR:norm_title] Journal of Sound and Vibration | [SJR:norm_title] Sound and Vibration,SJR Q1 | SJR Q2,norm_title,1,Sound and Vibration (x1),[SJR Q2] Sound and Vibration,HIGH,Y
surgery,[SJR:norm_title] Surgery (United States) | [SJR:norm_title] Surgery (United Kingdom) | [SJR:norm_title] International Surgery | [SJR:norm_title] International Journal of Surgery (discontinued),SJR Q1 | SJR Q3 | SJR Q4 | SJR -,norm_title,1,Surgery (United States) (x1),[SJR -] International Journal of Surgery (discontinued),HIGH,Y
technology society,[CORE:norm_title] International Symposium on Technology and Society | [SJR:norm_title] Technology in Society,CORE C | SJR Q1,norm_title,1,Technology in Society (x1),[CORE C] International Symposium on Technology and Society,HIGH,Y
academic medicine,[SJR:norm_title] Academic Medicine | [SJR:norm_title] International Journal of Academic Medicine,SJR Q1 | SJR Q4,norm_title,0,,[SJR Q4] International Journal of Academic Medicine,,Y
accounting education,[SJR:norm_title] Accounting Education | [SJR:norm_title] Journal of Accounting Education,SJR Q1 | SJR Q2,norm_title,0,,[SJR Q2] Journal of Accounting Education,,Y
accounting research,[SJR:norm_title] Journal of Accounting Research | [SJR:norm_title] Journal of International Accounting Research,SJR Q1 | SJR Q2,norm_title,0,,[SJR Q2] Journal of International Accounting Research,,Y
accounting review,[SJR:norm_title] Accounting Review | [SJR:norm_title] Journal of Accounting Review,SJR Q1 | SJR Q4,norm_title,0,,[SJR Q4] Journal of Accounting Review,,Y
acm computer communications security,[CORE:norm_title] ACM Conference on Computer and Communications Security | [SJR:norm_title] Proceedings of the ACM Conference on Computer and Communications Security,CORE A* | SJR -,norm_title,0,,[CORE A*] ACM Conference on Computer and Communications Security,,Y
acm economics computation,[CORE:norm_title] ACM Conference on Economics and Computation | [SJR:norm_title] ACM Transactions on Economics and Computation,CORE A* | SJR Q3,norm_title,0,,[CORE A*] ACM Conference on Economics and Computation,,Y
acm principles distributed computing,[CORE:norm_title] ACM Symposium on Principles of Distributed Computing | [SJR:norm_title] Proceedings of the Annual ACM Symposium on Principles of Distributed Computing,CORE A* | SJR -,norm_title,0,,[CORE A*] ACM Symposium on Principles of Distributed Computing,,Y
acm siam discrete algorithms,[CORE:norm_title] ACM/SIAM Symposium on Discrete Algorithms | [SJR:norm_title] Proceedings of the Annual ACM-SIAM Symposium on Discrete Algorithms,CORE A* | SJR -,norm_title,0,,[CORE A*] ACM/SIAM Symposium on Discrete Algorithms,,Y
acm sigplan programming language design implementation,[CORE:norm_title] ACM-SIGPLAN Conference on Programming Language Design and Implementation | [SJR:norm_title] Proceedings of the ACM SIGPLAN Conference on Programming Language Design and Implementation (PLDI),CORE A* | SJR -,norm_title,0,,[CORE A*] ACM-SIGPLAN Conference on Programming Language Design and Implementation,,Y
advances neural information processing systems,[CORE:norm_title] Advances in Neural Information Processing Systems (was NIPS) | [SJR:norm_title] Advances in Neural Information Processing Systems,CORE A* | SJR -,norm_title,0,,[CORE A*] Advances in Neural Information Processing Systems (was NIPS),,Y
africa,[SJR:norm_title] Africa | [SJR:norm_title] Africa (Italy),SJR Q1 | SJR Q4,norm_title,0,,[SJR Q4] Africa (Italy),,Y
agricultural economics,[SJR:norm_title] Journal of Agricultural Economics | [SJR:norm_title] Agricultural Economics (United Kingdom) | [SJR:norm_title] Agricultural Economics (Czech Republic),SJR Q1 | SJR Q1 | SJR Q2,norm_title,0,,[SJR Q2] Agricultural Economics (Czech Republic),,Y
agriculture,[SJR:norm_title] Agriculture (Switzerland) | [SJR:norm_title] Agriculture (Pol'nohospodarstvo),SJR Q1 | SJR Q3,norm_title,0,,[SJR Q3] Agriculture (Pol'nohospodarstvo),,Y
agronomy,[SJR:norm_title] Agronomy | [SJR:norm_title] International Journal of Agronomy,SJR Q1 | SJR Q2,norm_title,0,,[SJR Q2] International Journal of Agronomy,,Y
algorithm engineering experiments,[CORE:norm_title] Workshop on Algorithm Engineering and Experiments | [SJR:norm_title] Proceedings of the Workshop on Algorithm Engineering and Experiments,CORE A | SJR -,norm_title,0,,[CORE A] Workshop on Algorithm Engineering and Experiments,,Y
american history,[SJR:norm_title] Journal of American History | [SJR:norm_title] American History,SJR Q1 | SJR Q4,norm_title,0,,[SJR Q4] American History,,Y
analysis,[SJR:norm_title] Analysis | [SJR:norm_title] Journal of Analysis | [SJR:norm_title] Analysis (Germany),SJR Q1 | SJR Q2 | SJR Q3,norm_title,0,,[SJR Q3] Analysis (Germany),,Y
analysis applications,[SJR:norm_title] Analysis and Applications | [SJR:norm_title] International Journal of Analysis and Applications | [SJR:norm_title] Journal of Analysis and Applications,SJR Q1 | SJR Q3 | SJR Q4,norm_title,0,,[SJR Q4] Journal of Analysis and Applications,,Y
analytical chemistry,[SJR:norm_title] Analytical Chemistry | [SJR:norm_title] International Journal of Analytical Chemistry | [SJR:norm_title] Journal of Analytical Chemistry,SJR Q1 | SJR Q2 | SJR Q3,norm_title,0,,[SJR Q3] Journal of Analytical Chemistry,,Y
anthropologie,[SJR:norm_title] Anthropologie (France) | [SJR:norm_title] Anthropologie (Czech Republic),SJR Q1 | SJR Q3,norm_title,0,,[SJR Q3] Anthropologie (Czech Republic),,Y
antibiotics,[SJR:norm_title] Antibiotics | [SJR:norm_title] Journal of Antibiotics,SJR Q1 | SJR Q3,norm_title,0,,[SJR Q3] Journal of Antibiotics,,Y
applied biological chemistry,[SJR:norm_title] Applied Biological Chemistry | [SJR:norm_title] Journal of Applied Biological Chemistry,SJR Q1 | SJR Q4,norm_title,0,,[SJR Q4] Journal of Applied Biological Chemistry,,Y
applied computational mathematics,[SJR:norm_title] Applied and Computational Mathematics | [SJR:norm_title] International Journal of Applied and Computational Mathematics,SJR Q1 | SJR Q3,norm_title,0,,[SJR Q3] International Journal of Applied and Computational Mathematics,,Y
applied econometrics,[SJR:norm_title] Journal of Applied Econometrics | [SJR:norm_title] Applied Econometrics,SJR Q1 | SJR Q4,norm_title,0,,[SJR Q4] Applied Econometrics,,Y
applied economics,[SJR:norm_title] Applied Economics | [SJR:norm_title] Journal of Applied Economics,SJR Q2 | SJR Q1,norm_title,0,,[SJR Q1] Journal of Applied Economics,,Y
applied mathematics mechanics,[SJR:norm_title] Applied Mathematics and Mechanics (English Edition) | [SJR:norm_title] Applied Mathematics and Mechanics,SJR Q1 | SJR Q3,norm_title,0,,[SJR Q3] Applied Mathematics and Mechanics,,Y
applied philosophy,[SJR:norm_title] Journal of Applied Philosophy | [SJR:norm_title] International Journal of Applied Philosophy,SJR Q1 | SJR Q3,norm_title,0,,[SJR Q3] International Journal of Applied Philosophy,,Y
arbitration,[SJR:norm_title] Arbitration International | [SJR:norm_title] Journal of International Arbitration | [SJR:norm_title] Arbitration,SJR Q1 | SJR Q2 | SJR Q2,norm_title,0,,[SJR Q2] Arbitration,,Y
artificial intelligence,[CORE:norm_title] International Conference on Artificial Intelligence | [SJR:norm_title] Artificial Intelligence | [SJR:norm_title] International Journal of Artificial Intelligence,CORE National: USA | SJR Q1 | SJR Q4,norm_title,0,,[CORE National: USA] International Conference on Artificial Intelligence,,Y
artificial intelligence law,[CORE:norm_title] International Conference on Artificial Intelligence and Law | [SJR:norm_title] Artificial Intelligence and Law,CORE C | SJR Q1,norm_title,0,,[CORE C] International Conference on Artificial Intelligence and Law,,Y
artificial intelligence medicine,[CORE:norm_title] International Conference on Artificial Intelligence in Medicine | [SJR:norm_title] Artificial Intelligence in Medicine,CORE B | SJR Q1,norm_title,0,,[CORE B] International Conference on Artificial Intelligence in Medicine,,Y
asian studies,[SJR:norm_title] Asian Studies | [SJR:norm_title] Journal of Asian Studies | [SJR:norm_title] International Journal of Asian Studies,SJR Q1 | SJR Q1 | SJR Q2,norm_title,0,,[SJR Q2] International Journal of Asian Studies,,Y
asian studies review,[SJR:norm_title] Asian Studies Review | [SJR:norm_title] Asian International Studies Review,SJR Q1 | SJR Q2,norm_title,0,,[SJR Q2] Asian International Studies Review,,Y
association for information science technology,[SJR:norm_title] Journal of the Association for Information Science and Technology | [SJR:norm_title] Proceedings of the Association for Information Science and Technology,SJR Q1 | SJR Q2,norm_title,0,,[SJR Q2] Proceedings of the Association for Information Science and Technology,,Y
astrobiology,[SJR:norm_title] Astrobiology | [SJR:norm_title] International Journal of Astrobiology,SJR Q1 | SJR Q3,norm_title,0,,[SJR Q3] International Journal of Astrobiology,,Y
autoimmunity,[SJR:norm_title] Journal of Autoimmunity | [SJR:norm_title] Autoimmunity,SJR Q1 | SJR Q2,norm_title,0,,[SJR Q2] Autoimmunity,,Y
banking finance,[SJR:norm_title] Journal of Banking and Finance | [SJR:norm_title] International Journal of Banking and Finance,SJR Q1 | SJR Q4,norm_title,0,,[SJR Q4] International Journal of Banking and Finance,,Y
