in_sample_30,judge_relevance,Key,DOI,Year,Venue,Title,MeSH_terms,Abstract_excerpt
,,S8UYS8KQ,10.1016/j.cmpb.2023.107779,2023,Computer methods and programs in biomedicine,Psychodynamic-based virtual reality cognitive training system with personalized emotional arousal elements for mild cognitive impairment patients.,Virtual reality; Humans; Assessment; Aged; Emotions; Arousal; Quality of Life; *Cognitive Dysfunction/therapy; *Cognitive Training; Mild cognitive impairment; Personalized emotional arousal elements; Psychodynamic-based cognitive training,"BACKGROUND AND OBJECTIVE: Mild cognitive impairment (MCI) is a serious threat to the physical health and quality of life of the elderly, as well as a heavy burden  on families and society. The current computer-based rehabilitation training  ignores the role of emotions in cognitive impairment rehabilitation, making it  difficult to improve patient engagement and efficiency. To address this, a  psy"
,,IIJCH8L2,10.1002/jdd.70033,2026,Journal of dental education,The Role of Emerging Digital Technologies in Revolutionizing Dental Education: A Bibliometric Analysis.,"virtual reality; Virtual Reality; Augmented Reality; artificial intelligence; Humans; COVID-19; educational technology; Artificial Intelligence; *Bibliometrics; *Digital Technology/trends; *Education, Dental/methods/trends; *Educational Technology; bibliometrics; dental education; Education, Distance; information technology","BACKGROUND: The integration of artificial intelligence (AI), virtual reality (VR), augmented reality (AR), and other digital technologies in dental education  has gained significant attention, revolutionizing teaching methodologies,  clinical training, and student assessment. However, despite the growing body of  literature, there is no comprehensive bibliometric analysis mapping influential  stud"
,,KMJU2884,10.1055/a-1022-3038,2020,"Anasthesiologie, Intensivmedizin, Notfallmedizin, Schmerztherapie : AINS",[Use of Virtual Reality as a Component of Acute and Chronic Pain Treatment].,"Humans; *Virtual Reality; *Chronic Pain; Analgesics, Opioid; Pain Management",Future or reality? Treating acute and chronic pain is a part of the daily routine of clinical anesthesiologists. Commonly used analgesics have unwanted side  effects or may even be insufficient as in chronic pain treatment. Virtual Reality  (VR) could be a promising new approach which offers noninvasive therapy options  for the treatment of pain. In case of the opioid misuse the adjunctive treatme
Y,,TX62GS77,10.1016/j.physio.2022.07.001,2022,Physiotherapy,Effects of modern technology (exergame and virtual reality) assisted rehabilitation vs conventional rehabilitation in patients with Parkinson's  disease: a network meta-analysis of randomised controlled trials.,Exergame; Rehabilitation; Humans; VR training; *Virtual Reality; Parkinson’s disease; Randomized Controlled Trials as Topic; Exergaming; *Parkinson Disease/rehabilitation; Network meta-analysis; Primary care; Technology; Virtual technology-assisted rehabilitation,"BACKGROUND: Modern technological applications, including exergames and virtual technology-assisted rehabilitation (VTAR) programmes, are promising for  Parkinson's disease (PD) rehabilitation. However, evidence regarding their  efficacy for rehabilitation is inconclusive. OBJECTIVES: This network  meta-analysis (NMA) investigated the efficacy of exergames and VTAR on gait and  balance outcomes and"
,,9GLPQZD8,,2010,"Revista brasileira de fisioterapia (Sao Carlos (Sao Paulo, Brazil))",A systematic review about the effects of the vestibular rehabilitation in middle-age and older adults.,Humans; Aged; Middle Aged; Vestibular Diseases/*rehabilitation,"OBJECTIVE: to summarize the results of clinical trials on vestibular rehabilitation (VR) in middle-aged and elderly people with vestibular disorders.  METHODS: a search for relevant trials was performed in the databases LILACS,  EMBASE, MEDLINE, SciELO, Cochrane, ISI Web of Knowledge and virtual libraries of  theses and dissertations. Randomized controlled trials published in the last 10  years an"
Y,,HE3P5X6C,10.1101/2023.02.13.528002,2023,,The HRA Organ Gallery Affords Immersive Superpowers for Building and Exploring the Human Reference Atlas with Virtual Reality.,,"The Human Reference Atlas (HRA, https://humanatlas.io ) funded by the NIH Human Biomolecular Atlas Program (HuBMAP, https://commonfund.nih.gov/hubmap ) and other  projects engages 17 international consortia to create a spatial reference of the  healthy adult human body at single-cell resolution. The specimen, biological  structure, and spatial data that define the HRA are disparate in nature and  "
,,WA7Y73J6,10.1093/humrep/deq175,2010,"Human reproduction (Oxford, England)",An innovative virtual reality technique for automated human embryonic volume measurements.,"Humans; Software; Female; *User-Computer Interface; Imaging, Three-Dimensional; Reproducibility of Results; Pregnancy; *Body Size; *Embryonic Development; Automation, Laboratory/*methods; Crown-Rump Length; Early Diagnosis; Embryo, Mammalian/*anatomy & histology/diagnostic imaging; Fetal Development; Fetal Growth Retardation/diagnostic imaging; Fetus/anatomy & histology; Longitudinal Studies; Pregnancy Trimester, First; Ultrasonography, Prenatal; Yolk Sac/anatomy & histology/diagnostic imaging",BACKGROUND: The recent introduction of virtual reality (VR) enables us to use all three dimensions in a three-dimensional (3D) image. The aim of this prospective  study was to evaluate an innovative VR technique for automated 3D volume  measurements of the human embryo and yolk sac in first trimester pregnancies.  METHODS: We analysed 180 3D first trimester ultrasound scans of 42 pregnancies.  Sca
,,TE5Y3QRI,10.1681/asn.v1071575,1999,Journal of the American Society of Nephrology : JASN,The relation between body size and normalized small solute clearances in continuous ambulatory peritoneal dialysis.,"Humans; Adult; Female; Male; Aged; Middle Aged; *Body Constitution; *Peritoneal Dialysis, Continuous Ambulatory; Creatinine/blood/metabolism; Dialysis Solutions; Kidney Failure, Chronic/pathology/physiopathology/therapy; Models, Biological; Nonlinear Dynamics; Peritoneum/*physiopathology; Urea/blood/metabolism",The normalized peritoneal clearances of small solutes depend on the ratio of their concentration in dialysate and plasma (D/P) and the drain volume (Dv)  corrected for some measure of body size such as body water (V) or body surface  area (BSA). The clearance formulas (D/P) x (Dv/V) and (D/ P) x (Dv/BSA) can be  used to examine why large individuals tend to be underdialyzed. Large people have  low
,,4FY3NU8U,10.1177/2055668320913770,2020,Journal of rehabilitation and assistive technologies engineering,Participatory design and evaluation of virtual reality games to promote engagement in physical activity for people living with dementia.,virtual reality; participatory design; game design; Dementia; exergames; exercise motivation,"BACKGROUND: Exercise is a key component of physical health and quality of life for people living with dementia; however, challenges related to dementia symptoms  and aging can make it difficult for people living with dementia to engage in  exercise. While immersive virtual reality is showing increasing promise for  exercise and rehabilitation applications, there is a lack of research regarding  it"
Y,,35XN9NQT,10.1007/s00423-021-02127-7,2021,Langenbeck's archives of surgery,Using virtual 3D-models in surgical planning: workflow of an immersive virtual reality application in liver surgery.,"Virtual reality; Humans; 3D reconstruction; *Virtual Reality; Prospective Studies; Imaging, Three-Dimensional; *Surgeons; Liver surgery; Liver/diagnostic imaging/surgery; Workflow","PURPOSE: Three-dimensional (3D) surgical planning is widely accepted in liver surgery. Currently, the 3D reconstructions are usually presented as 3D PDF data  on regular monitors. 3D-printed liver models are sometimes used for education and  planning. METHODS: We developed an immersive virtual reality (VR) application  that enables the presentation of preoperative 3D models. The 3D reconstructions"
,,XLQ727D9,10.17294/2330-0698.1550,2018,Journal of patient-centered research and reviews,In-Home Delivery of Constraint-Induced Movement Therapy via Virtual Reality Gaming.,stroke; upper extremity; feasibility; virtual reality exposure therapy,"PURPOSE: People with chronic hemiparesis are frequently dissatisfied with the recovery of their hand and arm, yet many lack access to effective treatments.  Constraint-induced movement therapy (CI therapy) effectively increases arm  function and spontaneous use in persons with chronic hemiparesis. The purpose of  this study was to determine the feasibility and measure safety and outcomes of an  in"
,,WAC4MC5V,,2023,Advances in mind-body medicine,Money Attitudes After Clinical Emotional Freedom Techniques: Psychological Change in a Virtual vs In-Person Group.,"Humans; Pandemics; Pain; Artificial Intelligence; Retrospective Studies; *Cognitive Behavioral Therapy/methods; *Stress Disorders, Post-Traumatic/therapy/psychology; Depression/therapy/psychology; Freedom","CONTEXT: Emotional Freedom Techniques (EFTs) can reduce anxiety, depression, PTSD, and phobias. Research has found correlations between attitudes toward money  and anxiety and depressive symptomatology. No research has yet examined the  effectiveness of EFT in changing money attitudes. OBJECTIVE: The study intended  to measure the effectiveness of EFT in changing money attitudes and to contrast  E"
,,4F38HBY5,10.2490/prm.20190011,2019,Progress in rehabilitation medicine,"Virtual Reality-guided, Dual-task, Body Trunk Balance Training in the Sitting Position Improved Walking Ability without Improving Leg Strength.",virtual reality; walking; reaching; body trunk balance; dual task,"BACKGROUND: Virtual reality (VR) technology has been recently introduced in a variety of clinical settings, such as physical, occupational, cognitive, and  psychological rehabilitation or training. However, the clinical efficacy of VR  rehabilitation compared with traditional training techniques remains to be  elucidated. CASE: A 90-year-old man underwent VR-guided, dual-task, body trunk  balance "
,,C25UWLFK,10.1016/j.jad.2020.12.172,2021,Journal of affective disorders,Efficacy and acceptability of different interventions for acrophobia: A network meta-analysis of randomised controlled trials.,Virtual reality; Humans; Psychotherapy; *Cognitive Behavioral Therapy; Network meta-analysis; Acrophobia; *Phobic Disorders/therapy; Fear of height,"BACKGROUND: Currently, different psychological interventions have shown significant efficacy in the treatment of acrophobia. However, the superiority of  these individual treatments remains unclear. This network meta-analysis (NMA)  aimed to investigate the efficacy, acceptability, and superiority of different  existing interventions for acrophobia. METHODS: We conducted a NMA of randomised  contr"
,,5W4QG58P,10.1016/j.actpsy.2015.09.003,2015,Acta psychologica,Near or far? It depends on my impression: moral information and spatial behavior in virtual interactions.,Distance Perception; Cognition; Humans; Social Perception; Computer Graphics; Adolescent; Adult; Female; Young Adult; Male; User-Computer Interface; Photic Stimulation; Interpersonal Relations; *Personal Space; *Morals; Embodied social cognition; Interpersonal social space; Moral evaluation; Peripersonal action space; Sensorimotor spatial processing; Social Behavior,Near body distance is a key component of action and social interaction. Recent research has shown that peripersonal space (reachability-distance for acting with  objects) and interpersonal space (comfort-distance for interacting with people)  share common mechanisms and reflect the social valence of stimuli. The social  psychological literature has demonstrated that information about morality is  
,,6RCSRH7A,10.1365/s40702-023-00976-y,2023,HMD Praxis der Wirtschaftsinformatik,[Virtual Worlds in Distance Learning-A Study by AKAD University].,Avatar; Distance learning; 3D learning environment; E‑Learning; University; Virtual world,"The Corona pandemic changed the world of higher education teaching in many ways. Video conferencing solutions commonly used in the wake of the restrictions proved  to be a good substitute for some topics while increasing local flexibility.  However, it also became apparent that there are teaching formats that are not  ideally implementable via videoconferencing. These include seminars with a stron"
,,P4HSGWMS,,2021,Journal of clinical and translational research,Reliability and concurrent validity of TRAZER compared to three-dimensional motion capture.,virtual reality; functional performance; kinect; reactive agility,"BACKGROUND: Efficient neural processing of visuospatial and proprioceptive input appears to be crucial for avoidance of sport injury. As such, clinically-feasible  tests are needed to identify deficiencies found by advanced neuroimaging and  electrophysiological tests. Three-dimensional motion capture in a laboratory  setting is currently the gold standard for measurement of human movement  parame"
,,GNV3PDAY,,2005,Physical therapy,Acrophobia and pathological height vertigo: indications for vestibular physical therapy?,Humans; Adult; Male; Surveys and Questionnaires; *Physical Therapy Modalities; Phobic Disorders/physiopathology/*rehabilitation; Vertigo/physiopathology/*rehabilitation; Vestibular Diseases/physiopathology/*rehabilitation; Vestibular Function Tests,BACKGROUND AND PURPOSE: Acrophobia (fear of heights) may be related to a high degree of height vertigo caused by visual dependence in the maintenance of  standing balance. The purpose of this case report is to describe the use of  vestibular physical therapy intervention following behavioral therapy to reduce a  patient's visual dependence and height vertigo. CASE DESCRIPTION: Mr N was a  37-year-
,,WK2P6ZZG,10.7759/cureus.78879,2025,Cureus,"Comparison of Neck Circumference at the Hyoid and Thyroid Levels, Neck Circumference to Thyromental Distance Ratio, and Hyomental Distance Ratio in  Predicting Difficult Laryngeal Visualization in Obese and Non-Obese Populations.",visualization; difficult; larynx; non-obese; obese,"INTRODUCTION: Several preoperative predictive factors for difficult visualization of the larynx (DVL) have been identified, and these factors have significant  predictive value in the obese population. This prospective observational study  was conducted to compare the predictive abilities of different airway predictors  between obese and non-obese populations. MATERIAL AND METHODS: Our study inclu"
,,E2I66PMV,10.3390/brainsci10060326,2020,Brain sciences,"The Relationship between Emotionally Laden Landmarks, Spatial Abilities, and Personality Traits: An Exploratory Study.",emotions; spatial memory; individual differences,"Separate research lines have shown that the way we process spatial information is influenced by individual factors, such as personality traits and basic spatial  abilities. Alongside, recent studies suggest that environmental landmarks can be  represented differently depending on their emotional content. However, to our  knowledge, no study has addressed so far the issue of whether there is a  rel"
Y,,I3J385H8,10.1017/s0007114512000979,2013,The British journal of nutrition,Is the body adiposity index (hip circumference/height(1.5)) more strongly related to skinfold thicknesses and risk factor levels than is BMI? The Bogalusa Heart  Study.,Humans; Algorithms; Adolescent; Adult; Female; Young Adult; Male; Cross-Sectional Studies; Body Mass Index; Sex Characteristics; Middle Aged; Risk Factors; *Adiposity; Body Height; Cardiovascular Diseases/epidemiology/*etiology; Hip/pathology; Louisiana/epidemiology; Obesity/*diagnosis/pathology/physiopathology; Skinfold Thickness; Waist Circumference,"Because of its strong association (r 0.85) with percentage of body fat determined by dual-energy X-ray absorptiometry, hip circumference divided by height(1.5)  (the body adiposity index) has recently been proposed as an index of body fatness  among adults. We examined whether this proposed index was more strongly  associated with skinfold thicknesses and levels of CVD risk factors (lipids,  fasti"
,,MS45CPUN,10.1103/physreve.106.044122,2022,Physical review. E,Precise determination of pair interactions from pair statistics of many-body systems in and out of equilibrium.,,"The determination of the pair potential v(r) that accurately yields an equilibrium state at positive temperature T with a prescribed pair correlation  function g_{2}(r) or corresponding structure factor S(k) in d-dimensional  Euclidean space R^{d} is an outstanding inverse statistical mechanics problem  with far-reaching implications. Recently, Zhang and Torquato [Phys. Rev. E 101,  032124 (2020)2"
,,3VF3DGS7,10.1007/s002340050533,1998,Neuroradiology,Dilated Virchow-Robin spaces: MRI pathological study.,"Humans; Adult; Female; Male; Aged; Middle Aged; Magnetic Resonance Imaging/*methods; Reference Values; *Cerebrospinal Fluid; Dilatation, Pathologic/pathology; Heart Failure/pathology; Olfactory Pathways/*pathology; Putamen/*pathology; Subarachnoid Hemorrhage/pathology","We performed a histopathological study of two human brains to look at dilated Virchow-Robin (V-R) spaces in the anterior perforated substance and putamen. We  measured the diameter of 74 arteries in 54 dilated V-R spaces. In 28 patients  without neurological deficits we ascertained the characteristic location of  dilated V-R spaces in the anterior perforated substance and basal ganglia on MRI,  me"
,,LF96VCJZ,10.3389/fpsyg.2013.00354,2013,Frontiers in psychology,"""Seeing"" and ""feeling"" architecture: how bodily self-consciousness alters architectonic experience and affects the perception of interiors.",embodiment; virtual reality; architecture; bodily self-consciousness; length estimation,"Over the centuries architectural theory evolved several notions of embodiment, proposing in the nineteenth and twentieth century that architectonic experience  is related to physiological responses of the observer. Recent advances in the  cognitive neuroscience of embodiment (or bodily self-consciousness) enable  empirical studies of architectonic embodiment. Here, we investigated how  architectur"
,,WMV2YEZ2,10.1088/0967-3334/33/3/521,2012,Physiological measurement,Percutaneous method for single-catheter multiple monophasic action potential recordings during magnetocardiographic mapping in spontaneously breathing  rodents.,"Animals; Female; Male; Rats; Action Potentials/*physiology; Body Surface Potential Mapping/instrumentation/*methods; Catheters; Electrocardiography/methods; Guinea Pigs; Heart/*physiology; Magnetocardiography/instrumentation/*methods; Rats, Wistar","To test the feasibility of a novel method to combine magnetocardiographic (MCG) estimate of ventricular repolarization (VR) and multiple monophasic action  potential (MultiMAP) recording in spontaneously breathing rodents with  percutaneous sub-xyphoid epicardial placement of a MCG-compatible amagnetic  catheter (AC), ten Wistar rats (WRs) and ten guinea pigs (GPs) were studied.  Under fluoroscopi"
,,K2TAZ6JZ,10.1016/0272-0590(87)90032-7,1987,Fundamental and applied toxicology : official journal of the Society of Toxicology,Subchronic inhalation toxicity of hexamethylenediamine in rats.,"Animals; Female; Male; Rats; Dose-Response Relationship, Drug; Administration, Inhalation; Body Weight/drug effects; Diamines/administration & dosage/*toxicity; Lung/drug effects/pathology; Nose/drug effects/pathology; Organ Size/drug effects; Rats, Inbred Strains; Trachea/drug effects/pathology","Four groups of 15 male and 15 female Sprague-Dawley-derived (CD) rats each were exposed to aqueous hexamethylenediamine (HMD) aerosols for 6 hr/day, 5 days/week  for 13 weeks at mean analytical concentrations of 0, 12.8, or 51 mg/m3. Because  of exposure-related deaths in a group of male and female rats similarly exposed  to 215 mg/m3 HMD, this group was terminated during the seventh week of the s"
Y,,QZHSTXVQ,,2004,Evolution; international journal of organic evolution,Climatic and temporal effects on the expression of secondary sexual characters: genetic and environmental components.,"Animals; Geography; Analysis of Variance; Time Factors; Age Factors; Likelihood Functions; *Climate; *Selection, Genetic; *Sex Characteristics; Body Weights and Measures; Feathers/*anatomy & histology; Quantitative Trait, Heritable; Songbirds/*anatomy & histology/genetics; Sweden","Despite great interest in sexual selection, relatively little is known in detail about the genetic and environmental determinants of secondary sexual characters  in natural populations. Such information is important for determining the way in  which populations may respond to sexual selection. We report analyses of genetic  and large-scale environmental components of phenotypic variation of two se"
,,PS5T6DXW,,2009,Journal of virtual worlds research,Development of a Virtual Reality Coping Skills Game to Prevent Post-Hospitalization Smoking Relapse in Tobacco Dependent Cancer Patients.,virtual reality; health behavior; smoking cessation,"Many hospitalized smokers return to smoking after hospital discharge even though continued smoking can compromise treatment effectiveness, reduce survival,  increase risk of disease recurrence, and impair quality of life. After leaving a  smoke-free hospital, patients encounter smoking cues at home, such as family  members who smoke or emotional triggers such as stress, which can elicit powerful  "
,,XB5YGWNJ,10.1101/2024.09.03.611088,2025,,Joint Angle Trajectories Are Robust to Segment Length Estimation Methods in Human Reaching.,Virtual reality; Rehabilitation; Disabilities; Dynamic inertial model; Model scaling; Motion capture technology; Motor deficits; Movement analysis; Movement redundancy; Quantitative data; Remote healthcare; Upper extremity movements,"BACKGROUND: Quantitative movement analysis is increasingly used to assess motor deficits, but joint angle calculations depend on assumptions about limb segment  lengths. These lengths are often estimated from average anthropometric  proportions rather than measured directly. The extent to which such assumptions  influence joint angle accuracy and variability remains unclear. METHODS: In prior  stu"
,,NJ3PKJ7B,,1991,The Journal of sports medicine and physical fitness,Selection and classification of high school volleyball players from performance tests.,Cognition; Humans; Adolescent; Female; Analysis of Variance; *Physical Education and Training; *Physical Exertion; *Physical Fitness; Sports/*classification,"The purpose of this study were to determine the accuracy of general and specific tests for identifying the players on freshmen (FR), junior varsity (JV), and  varsity (VR) teams and the precision of tests to differentiate between starters  and nonstarters at each level of play. Fifty high school volleyball players were  tested during the first week of practice for six general and four specific mot"
,,LQYBV4DR,10.1523/jneurosci.0563-16.2016,2017,The Journal of neuroscience : the official journal of the Society for Neuroscience,Self-Grounded Vision: Hand Ownership Modulates Visual Location through Cortical β and γ Oscillations.,embodiment; Body Image; rubber hand illusion; Electroencephalography; Humans; EEG; Female; Young Adult; Illusions; Male; *Self Concept; Ego; *Hand; *Visual Perception; bodily self-consciousness; afterimage; Afterimage; Alpha Rhythm/physiology; Beta Rhythm/*physiology; Frontal Lobe/physiology; Gamma Rhythm/*physiology; Parietal Lobe/physiology; Sensorimotor Cortex/physiology; Taylor illusion; Visual Cortex/physiology,"Vision is known to be shaped by context, defined by environmental and bodily signals. In the Taylor illusion, the size of an afterimage projected on one's  hand changes according to proprioceptive signals conveying hand position. Here,  we assessed whether the Taylor illusion does not just depend on the physical hand  position, but also on bodily self-consciousness as quantified through illusory  "
,,7JX5JV6N,10.1103/physrevlett.123.250605,2019,Physical review letters,Finite Speed of Quantum Scrambling with Long Range Interactions.,,"In a locally interacting many-body system, two isolated qubits, separated by a large distance r, become correlated and entangled with each other at a time  t≥r/v. This finite speed v of quantum information scrambling limits quantum  information processing, thermalization, and even equilibrium correlations. Yet  most experimental systems contain long range power-law interactions-qubits  separated b"
Y,,XTF4YL95,10.1103/physreve.96.032102,2017,Physical review. E,Formation and relaxation of quasistationary states in particle systems with power-law interactions.,,"We explore the formation and relaxation of the so-called quasistationary states (QSS) for particle distributions in three dimensions interacting via an  attractive radial pair potential V(r→∞)∼1/r^{γ} with γ>0, and either a soft core  or hard core regularization at small r. In the first part of the paper, we  generalize, for any spatial dimension d≥2, Chandrasekhar's approach for the case  of grav"
Y,,TCD6MZ8N,,2006,Terapevticheskii arkhiv,[Electrocardiographic diagnosis of hypertrophy of the left ventricular myocardium in patients with arterial hypertension and overweight].,"Humans; Adult; Body Weight; Female; Male; Body Mass Index; Aged; Middle Aged; Blood Pressure/physiology; Severity of Illness Index; Echocardiography; Hypertension/*complications/diagnostic imaging; Hypertrophy, Left Ventricular/*diagnostic imaging/etiology; Obesity/*complications/diagnostic imaging",AIM: To study efficacy of different ECG criteria of hypertrophy of left ventricular myocardium (LVH) in hypertensive patients with reference to  overweight and obesity. MATERIAL AND METHODS: The authors analyse data on 100  patients (42 males and 58 females) aged 19-79 with diagnosis of arterial  hypertension stage I-II. ECG was conducted in 12 leads. LVH by ECG was determined  according to the fo
Y,,C92RD6H4,10.1103/physrevlett.105.210602,2010,Physical review letters,Quasistationary states and the range of pair interactions.,,"""Quasistationary"" states are approximately time independent out of equilibrium states which have been observed in a variety of systems of particles interacting  by long-range interactions. We investigate here the conditions of their  occurrence for a generic pair interaction V(r→∞)~1/r(γ) with γ>0, in d>1  dimensions. We generalize analytic calculations known for gravity in d=3 to  determine the s"
,,UN984XMP,10.1002/food.19720160313,1972,Die Nahrung,[Comparison of the nutritional status and physical condition of the populations of the People's Republic of Bulgaria and the German Democratic Republic. 2.  Comparison of somatotypological characteristics].,"Anthropometry; Humans; Adolescent; Adult; Body Weight; Female; Male; Obesity; Sex Factors; Middle Aged; Methods; Age Factors; Body Height; *Body Composition; *Nutrition Surveys; *Somatotypes; Bulgaria; Germany, East",
,,LCHU8FT4,,1972,Die Nahrung,[Comparison of the nutritional status and physical condition of the populations of the People's Republic of Bulgaria and the German Democratic Republic. 1.  Comparison of anthropometric characteristics].,"Anthropometry; Humans; Adolescent; Adult; Female; Male; Obesity; Sex Factors; Aged; Middle Aged; *Body Height; Age Factors; *Body Weight; *Nutrition Surveys; Bulgaria; Germany, East; *Skinfold Thickness",
